0015.516	4.000	1.000
0038.016	4.000	1.000
0062.016	2.000	1.000
0088.016	5.000	1.000
0107.516	2.500	1.000
0131.516	2.500	1.000
0152.517	6.000	1.000
0182.516	3.500	1.000
0215.016	4.000	1.000
0243.516	3.500	1.000
0266.016	5.500	1.000
0298.517	5.000	1.000
0323.016	4.500	1.000
0347.516	3.000	1.000
0366.016	4.000	1.000
0386.517	2.000	1.000
0410.016	4.500	1.000
0431.516	3.000	1.000
0453.516	6.000	1.000
0476.516	5.500	1.000
0650.547	3.500	1.000
0675.547	4.000	1.000
0699.047	2.500	1.000
0717.047	3.500	1.000
0745.047	6.000	1.000
0771.047	3.000	1.000
0789.047	4.000	1.000
0813.547	5.500	1.000
0841.547	4.000	1.000
0864.047	5.000	1.000
0888.547	2.000	1.000
0912.547	4.500	1.000
0936.547	5.000	1.000
0960.047	4.500	1.000
0985.047	3.000	1.000
1011.047	4.000	1.000
1031.047	6.000	1.000
1056.547	2.500	1.000
1085.047	5.500	1.000
1107.547	2.000	1.000
1288.578	2.500	1.000
1312.079	5.000	1.000
1338.079	3.500	1.000
1362.578	2.500	1.000
1389.078	5.500	1.000
1410.078	4.500	1.000
1437.578	4.000	1.000
1461.578	6.000	1.000
1488.578	5.500	1.000
1509.078	3.000	1.000
1528.578	5.000	1.000
1548.578	2.000	1.000
1576.578	3.000	1.000
1600.079	6.000	1.000
1625.078	4.500	1.000
1648.578	4.000	1.000
1674.078	4.000	1.000
1696.078	2.000	1.000
1722.579	4.000	1.000
1748.579	3.500	1.000
